ID,cluster
22,0
42,2
56,0
58,0
64,0
88,2
95,0
163,2
198,0
202,0
209,0
218,0
223,2
228,0
245,0
246,0
322,0
325,0
342,0
344,0
352,0
358,0
362,2
451,0
471,0
474,0
500,2
518,0
519,0
545,0
559,0
602,0
604,0
611,0
618,2
635,0
654,2
664,2
675,0
720,0
728,0
774,0
804,0
810,2
823,0
827,0
841,0
860,0
871,2
873,0
885,0
890,2
895,0
896,0
901,0
903,0
965,0
989,0
992,0
1001,2
1013,0
1019,0
1029,0
1035,0
1091,0
1099,2
1109,0
1118,0
1124,0
1154,0
1169,0
1180,2
1185,0
1195,2
1199,0
1216,0
1224,0
1236,2
1248,2
1258,2
1271,2
1383,0
1410,0
1420,0
1423,0
1432,2
1441,0
1451,0
1467,0
1501,0
1507,0
1518,0
1526,0
1530,0
1531,0
1548,0
1563,2
1566,2
1567,0
1577,0
1580,2
1596,2
1640,0
1645,0
1648,0
1653,0
1685,0
1687,2
1691,2
1708,0
1710,0
1732,0
1739,0
1745,0
1768,0
1786,0
1788,0
1803,0
1810,0
1812,2
1820,2
1834,0
1841,0
1853,0
1858,0
1861,0
1892,0
1893,0
1906,2
1907,0
1910,0
1923,0
1957,2
1959,0
1979,0
1981,0
1998,2
2002,0
2064,0
2102,0
2111,0
2115,0
2194,0
2219,0
2220,2
2233,2
2246,0
2252,2
2313,2
2319,0
2341,0
2346,0
2374,0
2433,0
2453,0
2466,0
2467,2
2495,2
2497,0
2506,2
2516,0
2537,0
2550,0
2551,2
2586,0
2596,0
2599,0
2609,0
2614,0
2615,0
2621,0
2641,0
2678,0
2693,0
2699,0
2748,0
2751,2
2752,0
2764,0
2792,0
2846,0
2850,0
2865,0
2868,0
2874,0
2935,2
2938,0
2944,0
2947,2
2960,0
2989,0
3007,0
3036,2
3052,2
3062,2
3073,0
3074,0
3080,0
3085,0
3124,2
3134,2
3135,2
3137,0
3150,0
3205,2
3219,0
3220,0
3230,0
3258,0
3267,2
3289,0
3294,0
3310,0
3313,0
3366,0
3367,0
3377,0
3386,0
3387,0
3405,2
3410,0
3427,2
3433,0
3447,0
3454,0
3456,0
3467,0
3487,0
3506,0
3546,2
3614,0
3657,0
3658,0
3660,2
3691,0
3719,0
3732,0
3747,2
3770,2
3787,0
3793,0
3823,0
3863,0
3884,0
3895,0
3901,2
3908,0
3914,0
3961,0
3966,0
3969,0
3976,0
3979,0
4064,0
4069,0
4107,2
4141,0
4158,0
4161,0
4167,0
4172,0
4178,0
4189,2
4190,2
4202,0
4205,0
4213,0
4268,0
4294,0
4295,0
4352,2
4355,0
4370,0
4376,0
4383,0
4394,0
4400,0
4405,2
4438,0
4445,0
4448,0
4477,0
4488,0
4529,0
4533,0
4563,0
4564,0
4573,0
4578,0
4671,2
4672,0
4702,0
4735,0
4744,0
4754,0
4756,0
4758,0
4780,1
4785,0
4814,0
4816,0
4825,0
4847,2
4855,2
4858,2
4918,2
4953,0
4969,0
4989,0
5011,0
5027,0
5029,0
5033,2
5036,0
5061,0
5062,2
5119,0
5168,0
5173,0
5202,2
5205,0
5228,0
5238,2
5243,0
5259,0
5270,2
5297,0
5331,0
5343,0
5352,2
5353,0
5373,2
5424,0
5438,0
5451,0
5465,0
5472,2
5489,2
5494,0
5541,0
5544,0
5546,0
5582,0
5584,2
5587,0
5618,2
5629,0
5651,2
5655,2
5660,0
5685,0
5696,2
5717,0
5778,2
5799,0
5804,0
5805,1
5820,0
5846,0
5873,0
5874,0
5880,0
5926,0
5946,0
5965,0
5976,0
6009,0
6017,0
6043,0
6058,2
6063,0
6097,0
6127,0
6130,2
6153,0
6158,0
6172,0
6215,0
6217,2
6220,2
6227,0
6232,0
6233,0
6244,0
6246,0
6284,0
6285,0
6289,0
6339,0
6353,0
6354,0
6391,2
6408,2
6410,0
6447,0
6457,0
6461,0
6463,0
6475,0
6481,0
6504,0
6524,0
6525,0
6527,0
6559,0
6592,1
6594,0
6623,0
6640,0
6641,0
6656,2
6665,0
6670,0
6718,0
6773,0
6831,0
6837,0
6848,0
6860,0
6873,2
6909,2
6911,0
6920,1
6921,0
6934,0
6955,0
6988,0
7005,1
7047,0
7092,0
7095,0
7165,2
7168,2
7181,0
7190,0
7213,0
7222,0
7241,0
7285,0
7289,2
7296,0
7297,2
7322,2
7324,0
7334,0
7363,2
7371,0
7373,0
7390,0
7420,2
7433,0
7436,0
7460,2
7465,2
7471,0
7478,0
7523,0
7537,0
7558,0
7581,2
7588,0
7599,0
7603,0
7613,0
7665,2
7680,2
7690,0
7698,2
7730,0
7747,0
7753,0
7788,0
7799,0
7835,0
7862,0
7919,0
7941,2
7945,0
7969,0
7979,2
7982,0
7987,0
7989,0
8007,0
8008,0
8022,0
8057,0
8079,2
8080,0
8081,0
8099,0
8104,0
8112,2
8117,2
8122,0
8140,0
8175,0
8208,0
8224,2
8231,0
8247,0
8266,0
8278,0
8280,2
8288,0
8324,2
8344,0
8345,2
8382,2
8410,0
8415,0
8417,0
8427,0
8447,0
8473,0
8488,0
8513,0
8518,2
8521,0
8531,0
8543,0
8562,0
8597,0
8605,2
8672,0
8696,2
8729,0
8763,0
8770,0
8793,0
8822,0
8832,0
8849,0
8877,0
8886,0
8891,0
8896,0
8919,0
8922,2
8937,0
8972,2
9002,0
9031,2
9067,0
9078,0
9121,0
9135,0
9153,0
9154,2
9160,0
9164,0
9165,2
9196,0
9204,0
9241,0
9289,0
9305,0
9328,0
9342,2
9368,0
9401,0
9403,0
9409,0
9453,0
9461,0
9465,0
9510,0
9524,0
9564,0
9678,0
9706,0
9730,0
9736,2
9752,0
9797,0
9810,0
9845,2
9859,0
9946,0
9965,2
10001,0
10012,2
10030,0
10041,0
10042,0
10047,0
10053,2
