feature,importance
mean_7,0.66203386
mean_3,0.102945216
lag_1,0.09466728
mean_14,0.026268946
max_7,0.018790536
lag_7,0.008673765
lag_14,0.007411273
std_14,0.0067030224
lag_21,0.006588345
min_7,0.0064871293
mean_30,0.005009576
std_3,0.0048546884
day_sin,0.004813434
day_cos,0.0045627225
lag_2,0.0045267567
cons_vs_mean_7,0.004466936
lag_3,0.0043004337
diff_7,0.0037567024
std_7,0.0036172026
cons_vs_week_ago,0.0036134936
day_of_week,0.0035455634
diff_1,0.0034619316
is_weekend,0.0031209618
is_monday,0.002997647
is_friday,0.0027826575
