household_id,cluster
22,1
42,3
56,1
58,1
64,1
88,3
95,1
163,1
198,1
202,1
209,1
218,1
223,3
228,1
245,1
246,1
322,1
325,1
342,1
344,1
352,1
358,1
362,3
451,1
471,1
474,1
500,3
518,1
519,1
545,1
559,1
602,1
604,1
611,1
618,3
635,1
654,3
664,1
675,1
720,1
728,1
774,1
804,1
810,3
823,1
827,1
841,1
860,1
871,3
873,1
885,1
890,3
895,1
896,1
901,1
903,1
965,1
989,1
992,1
1001,3
1013,1
1019,1
1029,1
1035,1
1091,1
1099,3
1109,1
1118,1
1124,1
1154,1
1169,1
1180,3
1185,1
1195,1
1199,1
1216,1
1224,1
1236,3
1248,1
1258,1
1271,3
1383,1
1410,1
1420,1
1423,1
1432,1
1441,1
1451,1
1467,1
1501,1
1507,1
1518,1
1526,1
1530,1
1531,1
1548,1
1563,1
1566,3
1567,1
1577,0
1580,1
1596,3
1640,2
1645,1
1648,1
1653,1
1685,1
1687,3
1691,3
1708,1
1710,1
1732,1
1739,1
1745,1
1768,1
1786,1
1788,1
1803,1
1810,1
1812,1
1820,3
1834,1
1841,1
1853,1
1858,1
1861,1
1892,1
1893,1
1906,3
1907,1
1910,0
1923,1
1957,3
1959,1
1979,1
1981,1
1998,3
2002,1
2064,2
2102,1
2111,1
2115,1
2194,1
2219,0
2220,3
2233,3
2246,1
2252,3
2313,3
2319,1
2341,1
2346,1
2374,1
2433,1
2453,1
2466,1
2467,3
2495,3
2497,1
2506,1
2516,1
2537,1
2550,1
2551,1
2586,1
2596,1
2599,1
2609,1
2614,1
2615,1
2621,1
2641,1
2678,1
2693,1
2699,1
2748,1
2751,3
2752,1
2764,1
2792,1
2846,0
2850,1
2865,1
2868,1
2874,1
2935,3
2938,1
2944,1
2947,3
2960,1
2989,1
3007,1
3036,3
3052,1
3062,3
3073,1
3074,1
3080,1
3085,1
3124,1
3134,3
3135,3
3137,1
3150,1
3205,3
3219,1
3220,1
3230,1
3258,1
3267,3
3289,1
3294,1
3310,1
3313,1
3366,1
3367,1
3377,1
3386,1
3387,1
3405,1
3410,1
3427,3
3433,1
3447,1
3454,1
3456,1
3467,1
3487,1
3506,1
3546,3
3614,1
3657,1
3658,1
3660,3
3691,1
3719,1
3732,1
3747,1
3770,3
3787,1
3793,1
3823,1
3863,1
3884,1
3895,1
3901,1
3908,1
3914,1
3961,1
3966,1
3969,1
3976,1
3979,1
4064,1
4069,1
4107,1
4141,1
4158,1
4161,1
4167,1
4172,1
4178,1
4189,3
4190,1
4202,1
4205,1
4213,1
4268,1
4294,1
4295,1
4352,3
4355,1
4370,1
4376,1
4383,1
4394,1
4400,1
4405,3
4438,2
4445,1
4448,1
4477,1
4488,1
4529,1
4533,1
4563,1
4564,1
4573,1
4578,1
4671,1
4672,1
4702,1
4735,1
4744,1
4754,1
4756,1
4758,1
4780,3
4785,1
4814,0
4816,1
4825,1
4847,1
4855,3
4858,3
4918,3
4953,1
4969,1
4989,1
5011,1
5027,1
5029,1
5033,1
5036,1
5061,1
5062,1
5119,1
5168,1
5173,1
5202,1
5205,1
5228,1
5238,3
5243,1
5259,1
5270,1
5297,1
5331,1
5343,1
5352,3
5353,1
5373,3
5424,1
5438,1
5451,1
5465,1
5472,3
5489,3
5494,1
5541,1
5544,1
5546,1
5582,1
5584,3
5587,1
5618,3
5629,1
5651,3
5655,1
5660,1
5685,1
5696,1
5717,1
5778,3
5799,1
5804,1
5805,3
5820,1
5846,2
5873,1
5874,1
5880,1
5926,1
5946,1
5965,1
5976,1
6009,1
6017,1
6043,1
6058,3
6063,1
6097,1
6127,1
6130,3
6153,1
6158,1
6172,1
6215,1
6217,3
6220,1
6227,1
6232,1
6233,1
6244,1
6246,1
6284,1
6285,1
6289,1
6339,1
6353,1
6354,1
6391,3
6408,1
6410,1
6447,1
6457,1
6461,1
6463,1
6475,1
6481,1
6504,1
6524,1
6525,1
6527,1
6559,1
6592,3
6594,1
6623,1
6640,1
6641,1
6656,1
6665,1
6670,1
6718,1
6773,1
6831,1
6837,1
6848,1
6860,1
6873,3
6909,1
6911,1
6920,3
6921,1
6934,1
6955,1
6988,1
7005,3
7047,1
7092,1
7095,1
7165,3
7168,3
7181,1
7190,0
7213,1
7222,1
7241,1
7285,1
7289,1
7296,1
7297,3
7322,1
7324,1
7334,1
7363,3
7371,1
7373,1
7390,1
7420,1
7433,0
7436,1
7460,3
7465,3
7471,1
7478,1
7523,1
7537,1
7558,1
7581,3
7588,1
7599,1
7603,1
7613,0
7665,3
7680,3
7690,1
7698,3
7730,1
7747,1
7753,1
7788,1
7799,1
7835,1
7862,1
7919,1
7941,1
7945,1
7969,1
7979,3
7982,1
7987,1
7989,1
8007,1
8008,1
8022,1
8057,1
8079,1
8080,1
8081,1
8099,1
8104,1
8112,1
8117,1
8122,1
8140,1
8175,1
8208,0
8224,1
8231,1
8247,1
8266,1
8278,1
8280,3
8288,1
8324,3
8344,1
8345,3
8382,1
8410,0
8415,1
8417,1
8427,1
8447,1
8473,1
8488,1
8513,1
8518,3
8521,1
8531,1
8543,1
8562,1
8597,1
8605,3
8672,1
8696,1
8729,1
8763,1
8770,1
8793,1
8822,0
8832,1
8849,1
8877,1
8886,1
8891,1
8896,1
8919,1
8922,3
8937,1
8972,3
9002,1
9031,1
9067,1
9078,1
9121,1
9135,1
9153,1
9154,1
9160,1
9164,1
9165,3
9196,1
9204,1
9241,1
9289,1
9305,1
9328,1
9342,3
9368,1
9401,1
9403,1
9409,1
9453,1
9461,1
9465,1
9510,1
9524,1
9564,1
9678,1
9706,1
9730,1
9736,3
9752,1
9797,1
9810,1
9845,3
9859,1
9946,1
9965,1
10001,1
10012,1
10030,1
10041,1
10042,1
10047,1
10053,3
10061,1
10081,1
10108,1
10111,1
10115,1
10152,1
10161,1
10177,1
10178,1
10180,1
10190,1
10204,1
10216,1
10241,1
10257,3
10268,1
10290,1
10293,1
10349,1
10426,1
10441,1
10447,3
10452,1
10498,1
10500,1
10521,1
10538,1
10541,1
10554,1
10569,1
10597,1
10613,1
10629,1
10634,1
